conversation_index,turn_index,num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
1,1,74,918,992,0.08061002178649238
2,1,290,905,1195,0.32044198895027626
2,2,1402,711,2113,1.9718706047819972
2,3,2497,918,3415,2.7200435729847494
3,1,41,950,991,0.0431578947368421
4,1,238,787,1025,0.30241423125794153
4,2,1045,742,1787,1.408355795148248
4,3,2053,855,2908,2.401169590643275
4,4,3026,311,3337,9.729903536977492
4,5,3455,390,3845,8.85897435897436
4,6,3901,572,4473,6.81993006993007
4,7,4500,433,4933,10.392609699769054
4,8,5346,363,5709,14.727272727272727
4,9,5733,290,6023,19.76896551724138
4,10,6139,894,7033,6.866890380313199
4,11,7104,871,7975,8.156142365097589
5,1,308,386,694,0.7979274611398963
5,2,697,430,1127,1.6209302325581396
5,3,1130,427,1557,2.6463700234192036
5,4,1560,79,1639,19.746835443037973
6,1,206,733,939,0.2810368349249659
6,2,944,476,1420,1.9831932773109244
6,3,1435,244,1679,5.881147540983607
6,4,1693,222,1915,7.626126126126126
6,5,1924,288,2212,6.680555555555555
6,6,2222,204,2426,10.892156862745098
6,7,2436,238,2674,10.235294117647058
6,8,2689,510,3199,5.272549019607843
7,1,21,368,389,0.057065217391304345
7,2,447,917,1364,0.48745910577971646
8,1,56,573,629,0.09773123909249563
8,2,639,314,953,2.035031847133758
9,1,111,641,752,0.1731669266770671
10,1,488,919,1407,0.5310119695321001
10,2,1428,841,2269,1.6979785969084424
11,1,78,788,866,0.09898477157360407
11,2,896,1089,1985,0.82277318640955
11,3,2077,1102,3179,1.8847549909255898
11,4,3189,151,3340,21.119205298013245
11,5,3388,132,3520,25.666666666666668
11,6,3534,97,3631,36.43298969072165
11,7,3681,1064,4745,3.4595864661654137
11,8,4754,387,5141,12.28423772609819
11,9,5161,475,5636,10.865263157894736
11,10,5655,540,6195,10.472222222222221
11,11,6236,587,6823,10.62350936967632
12,1,109,428,537,0.2546728971962617
12,2,588,549,1137,1.0710382513661203
12,3,1261,558,1819,2.259856630824373
13,1,40,820,860,0.04878048780487805
14,1,170,521,691,0.32629558541266795
14,2,739,364,1103,2.03021978021978
15,1,165,670,835,0.2462686567164179
16,1,299,621,920,0.48148148148148145
16,2,956,234,1190,4.085470085470085
16,3,1211,230,1441,5.265217391304348
16,4,1529,304,1833,5.029605263157895
16,5,1980,330,2310,6.0
16,6,2346,181,2527,12.96132596685083
16,7,2859,362,3221,7.897790055248619
16,8,3250,377,3627,8.620689655172415
16,9,3655,323,3978,11.31578947368421
16,10,4061,322,4383,12.611801242236025
17,1,160,431,591,0.37122969837587005
17,2,620,339,959,1.8289085545722714
17,3,1165,75,1240,15.533333333333333
18,1,79,577,656,0.1369150779896014
18,2,685,364,1049,1.8818681318681318
18,3,1061,561,1622,1.8912655971479502
18,4,2165,970,3135,2.231958762886598
18,5,3271,966,4237,3.386128364389234
19,1,86,694,780,0.1239193083573487
19,2,848,9,857,94.22222222222223
19,3,876,6,882,146.0
19,4,959,435,1394,2.2045977011494253
19,5,1413,463,1876,3.0518358531317493
19,6,1964,401,2365,4.897755610972569
19,7,2450,393,2843,6.234096692111959
19,8,2928,289,3217,10.131487889273357
19,9,3302,515,3817,6.411650485436893
19,10,3855,464,4319,8.308189655172415
19,11,4404,592,4996,7.4391891891891895
19,12,5081,406,5487,12.514778325123153
19,13,5502,326,5828,16.87730061349693
19,14,6007,670,6677,8.965671641791046
19,15,6772,771,7543,8.783398184176395
20,1,10,405,415,0.024691358024691357
20,2,426,504,930,0.8452380952380952
20,3,943,477,1420,1.9769392033542976
20,4,1431,547,1978,2.6160877513711154
20,5,5410,311,5721,17.39549839228296
21,1,50,851,901,0.05875440658049354
21,2,915,994,1909,0.920523138832998
21,3,1981,1006,2987,1.9691848906560636
21,4,3005,800,3805,3.75625
22,1,417,725,1142,0.5751724137931035
22,2,1190,819,2009,1.452991452991453
22,3,2034,917,2951,2.218102508178844
22,4,2965,860,3825,3.447674418604651
23,1,116,397,513,0.29219143576826195
23,2,515,352,867,1.4630681818181819
23,3,869,302,1171,2.877483443708609
23,4,1182,227,1409,5.20704845814978
23,5,1491,351,1842,4.247863247863248
23,6,1865,517,2382,3.607350096711799
23,7,2412,403,2815,5.9851116625310175
24,1,21,857,878,0.024504084014002333
25,1,73,952,1025,0.07668067226890757
25,2,1057,537,1594,1.968342644320298
25,3,1675,444,2119,3.7725225225225225
25,4,2133,581,2714,3.6712564543889843
25,5,2738,439,3177,6.236902050113895
25,6,3200,966,4166,3.3126293995859215
25,7,4593,894,5487,5.1375838926174495
25,8,5697,965,6662,5.9036269430051815
25,9,6703,971,7674,6.903192584963954
26,1,145,1720,1865,0.08430232558139535
27,1,40,439,479,0.09111617312072894
27,2,884,499,1383,1.7715430861723447
27,3,1708,319,2027,5.35423197492163
27,4,2132,246,2378,8.666666666666666
27,5,2411,158,2569,15.259493670886076
28,1,46,291,337,0.15807560137457044
28,2,396,730,1126,0.5424657534246575
28,3,1174,281,1455,4.177935943060498
28,4,1514,906,2420,1.6710816777041944
28,5,2428,709,3137,3.4245416078984485
29,1,40,93,133,0.43010752688172044
30,1,34,544,578,0.0625
31,1,95,566,661,0.16784452296819788
31,2,699,807,1506,0.8661710037174721
32,1,102,532,634,0.19172932330827067
33,1,18,105,123,0.17142857142857143
33,2,135,90,225,1.5
34,1,3933,701,4634,5.61055634807418
34,2,4679,344,5023,13.601744186046512
34,3,5072,464,5536,10.931034482758621
34,4,5615,544,6159,10.321691176470589
34,5,6233,685,6918,9.0992700729927
35,1,46,57,103,0.8070175438596491
35,2,156,149,305,1.0469798657718121
35,3,351,183,534,1.9180327868852458
35,4,602,174,776,3.4597701149425286
36,1,54,116,170,0.46551724137931033
36,2,188,106,294,1.7735849056603774
36,3,360,145,505,2.4827586206896552
36,4,523,153,676,3.418300653594771
36,5,696,104,800,6.6923076923076925
36,6,844,200,1044,4.22
36,7,1065,144,1209,7.395833333333333
36,8,1231,279,1510,4.412186379928316
36,9,1541,150,1691,10.273333333333333
37,1,317,1121,1438,0.28278322925958965
37,2,1496,945,2441,1.583068783068783
37,3,2568,928,3496,2.7672413793103448
37,4,3629,1112,4741,3.2634892086330933
37,5,4882,830,5712,5.881927710843374
37,6,5809,753,6562,7.714475431606906
37,7,6649,1034,7683,6.43036750483559
38,1,58,773,831,0.07503234152652005
38,2,911,664,1575,1.3719879518072289
38,3,1614,721,2335,2.2385575589459084
38,4,2419,827,3246,2.92503022974607
38,5,3271,289,3560,11.318339100346021
38,6,3571,112,3683,31.883928571428573
38,7,3709,358,4067,10.360335195530727
38,8,4079,116,4195,35.16379310344828
38,9,4209,200,4409,21.045
39,1,89,473,562,0.18816067653276955
39,2,587,408,995,1.4387254901960784
39,3,1028,49,1077,20.979591836734695
39,4,1131,37,1168,30.56756756756757
39,5,1221,812,2033,1.5036945812807883
39,6,2096,823,2919,2.5467800729040095
39,7,2964,702,3666,4.222222222222222
39,8,3772,99,3871,38.101010101010104
39,9,3966,389,4355,10.195372750642674
39,10,4373,419,4792,10.436754176610979
39,11,4810,542,5352,8.874538745387454
39,12,5481,811,6292,6.758323057953144
39,13,6374,866,7240,7.36027713625866
40,1,11,194,205,0.05670103092783505
41,1,69,583,652,0.1183533447684391
41,2,678,735,1413,0.9224489795918367
41,3,1456,643,2099,2.264385692068429
41,4,2131,807,2938,2.640644361833953
42,1,10,60,70,0.16666666666666666
42,2,80,69,149,1.1594202898550725
42,3,158,359,517,0.4401114206128134
42,4,525,125,650,4.2
42,5,664,158,822,4.2025316455696204
42,6,834,117,951,7.128205128205129
43,1,534,1252,1786,0.426517571884984
43,2,1798,918,2716,1.9586056644880174
44,1,156,928,1084,0.16810344827586207
44,2,1117,660,1777,1.6924242424242424
44,3,1964,947,2911,2.073917634635692
44,4,2964,794,3758,3.7329974811083124
44,5,3780,894,4674,4.228187919463087
44,6,4755,505,5260,9.415841584158416
44,7,5309,975,6284,5.4451282051282055
44,8,6286,227,6513,27.691629955947135
45,1,23,698,721,0.0329512893982808
45,2,734,760,1494,0.9657894736842105
45,3,1541,482,2023,3.1970954356846475
46,1,214,10,224,21.4
46,2,276,254,530,1.0866141732283465
46,3,582,159,741,3.660377358490566
46,4,794,251,1045,3.1633466135458166
46,5,1059,373,1432,2.839142091152815
46,6,1486,442,1928,3.3619909502262444
46,7,1959,290,2249,6.755172413793104
47,1,50,383,433,0.13054830287206268
48,1,51,53,104,0.9622641509433962
48,2,116,167,283,0.6946107784431138
48,3,302,286,588,1.055944055944056
48,4,690,310,1000,2.225806451612903
48,5,1013,278,1291,3.643884892086331
48,6,1323,85,1408,15.564705882352941
48,7,1456,818,2274,1.7799511002444988
48,8,2286,47,2333,48.638297872340424
48,9,2378,319,2697,7.454545454545454
48,10,2714,48,2762,56.541666666666664
48,11,2793,318,3111,8.783018867924529
48,12,3133,54,3187,58.01851851851852
48,13,3191,30,3221,106.36666666666666
49,1,36,718,754,0.05013927576601671
50,1,254,716,970,0.3547486033519553
51,1,18,900,918,0.02
51,2,971,555,1526,1.7495495495495494
51,3,1559,699,2258,2.2303290414878396
52,1,68,30,98,2.2666666666666666
52,2,102,14,116,7.285714285714286
52,3,130,37,167,3.5135135135135136
52,4,179,23,202,7.782608695652174
52,5,222,40,262,5.55
52,6,273,36,309,7.583333333333333
52,7,321,59,380,5.440677966101695
52,8,392,43,435,9.116279069767442
52,9,437,50,487,8.74
52,10,509,58,567,8.775862068965518
52,11,576,497,1073,1.158953722334004
53,1,12,968,980,0.012396694214876033
53,2,987,250,1237,3.948
53,3,1282,196,1478,6.540816326530612
53,4,1533,307,1840,4.993485342019544
53,5,1866,340,2206,5.488235294117647
54,1,732,518,1250,1.4131274131274132
54,2,1284,883,2167,1.4541336353340883
54,3,2169,865,3034,2.507514450867052
54,4,3036,812,3848,3.7389162561576357
54,5,3882,898,4780,4.32293986636971
54,6,4782,883,5665,5.4156285390713474
54,7,5667,629,6296,9.009538950715422
54,8,6298,863,7161,7.297798377752028
54,9,7195,883,8078,8.148357870894678
55,1,49,118,167,0.4152542372881356
55,2,1723,416,2139,4.141826923076923
55,3,2170,179,2349,12.12290502793296
55,4,2358,328,2686,7.189024390243903
55,5,2723,109,2832,24.98165137614679
55,6,2865,353,3218,8.11614730878187
55,7,3235,178,3413,18.174157303370787
55,8,3426,229,3655,14.960698689956331
55,9,3682,381,4063,9.664041994750656
55,10,4071,189,4260,21.53968253968254
55,11,4278,259,4537,16.517374517374517
55,12,4553,228,4781,19.969298245614034
55,13,4798,233,5031,20.59227467811159
55,14,5039,258,5297,19.531007751937985
55,15,5321,164,5485,32.44512195121951
55,16,5494,228,5722,24.096491228070175
55,17,5732,249,5981,23.02008032128514
55,18,5997,320,6317,18.740625
55,19,6358,328,6686,19.384146341463413
55,20,6701,414,7115,16.185990338164252
55,21,7148,274,7422,26.087591240875913
55,22,7435,272,7707,27.334558823529413
55,23,7741,260,8001,29.773076923076925
56,1,107,922,1029,0.11605206073752712
56,2,1093,49,1142,22.306122448979593
56,3,1254,842,2096,1.489311163895487
56,4,2142,826,2968,2.593220338983051
